1;1;"How green is my planet?";"<p>A SATELLITE is sending back spectacular images of plant life on Earth. The Sea-viewing Wide  Field-of-view Sensor (SeaWiFS) monitors the absorption of light by chlorophyll, used in photosynthesis.</p><p>The main goal of the SeaWiFS mission, <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='patrocinado'>sponsored</a> by NASA, is to measure populations of  microscopic marine plants called phytoplankton. But when the satellite began beaming back data last month,  it <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='acabou sendo'>turned out</a> that the sensor was powerful enough to see land plants as well.</p>           <p>&ldquo;We&#8242;re really pleased with these results&rdquo;, says SeaWiFS project manager Mary Cleave. In this image,  high concentrations of plant life are shown as yellow or green, while low densities are blue.</p>  <p>The team hopes that the satellite <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='dados'>data</a> will help in predictions of climate change, for example that caused by  El Ni&ntilde;o &#8212; the <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='aquecimento'>warming</a> of Pacific waters that occurs every few years. Phytoplankton populations increase as  the oceans heat up. The data <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='permitir&#227;o'>will</a> also <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='permitir&#227;o'>allow</a> marine biologists to monitor the <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='prolifera&#231;&#227;o'>spread</a> of toxic algal <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='florescimento'>blooms</a>,  which can kill millions of fish</p>.  ";"Antes de ler o texto, observe a ilustra&#231;&#227;o apresentada. Sobre o que voc&#234; acha que vai tratar este texto?";"1_1.gif";20
1;2;"Freud: A brief biography";"<p>Sigmund Freud (1856-1939) was the founder of psychoanalysis. He was born of <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='Judeu'>Jewish</a> parents at  Freiberg in Moravia on May 6, 1856. From the age of 4 until the age of 82 he lived in Vienna. As a student he  found it difficult to decide on a profession, because he was impressed by the work of Darwin and other  scientists of the period, but he was also attracted to the history of culture and philosophy. Although originally  interested in <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='qu&iacute;mica'>chemistry</a>, he found he had greater ability in dealing with physiology and anatomy, so he  <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='consequentemente'>eventually</a> decided to study medicine.</p>    <p>        He liked research, but did not have the financial means to follow a career in this area, especially  after he married Martha Bernay in 1886. Shortly afterwards, he began practice as a neurologist. He heard  about an extraordinary experience of an outstanding Viennese physician and thinker, Josef Breuer, who had  cured a patient of the symptoms of hysteria through the use of hypnosis as a technique to promote  <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='lembran&ccedil;a'>recollection</a> of past events. This technique was successfully used by Freud in the treatment of various  patients, and was the starting point of what later became psychoanalysis. Freud later replaced hypnotism  with free association. This substitution of free association for hypnotism <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='permitiu'>allowed</a> him to isolate and study the  phenomena of resistance and transference. Resistance refers to the uncovering of repressed experiences  while transference reflects the patient&#8242;s emotional ties to the analyst. These two factors have ever since  remained central in the technique of psychoanalysis. </p>   <p>        Freud&#8242;s discoveries about the sexuality of children met opposition, <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='mal entendido'>misunderstanding</a>, and abuse  from the beginning, and for ten years Freud worked alone at psychoanalysis. Recognition of analysis was  slow to come; only after analysis attained comparatively broad acceptance in the United States did the  opposition assume a less vehement character. In about 1906 he was joined by a number of colleagues, and  by 1910 the International Psychoanalytic Association was founded. </p> <p>          Freud had six children, and the youngest, Anna Freud, became a famous psychoanalyst <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='por seus pr&oacute;prios m&eacute;ritos'>in her own  right</a>. After the annexation of Austria by Nazi Germany, Freud moved to London, where he died in 1939.  </p> <p>          Freud&#8242;s work contains striking discoveries; it is also the expression of a powerful mind, capable of  extracting the fullest meaning from such discoveries. His unfailing intellectual courage allowed him to face  previously unknown aspects of the human mind. The characteristic elements of his style of thinking and his  creativity remained <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='intacto'>unimpaired</a> either by age or disease (He suffered from cancer from the age of 67), and  he wrote one of his most lucid and significant papers at the age of 80.  </p> ";"O texto que voc&#234; vai ler &#233; uma biografia sobre a vida de Freud. Que tipo de informa&#231;&#227;o voc&#234; espera encontrar em um texto deste tipo? Procure lembrar as informa&#231;&#245;es que voc&#234; j&#225; conhece sobre a vida e obra desse autor.";;80
1;3;"Glory of Nerfertari&#8242;s tomb restored";"<p>After six years&#8242; work the wall paintings in one of Egypt&#8242;s most beautifully decorated <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='t&uacute;mulos'>tombs</a> have been  restored to their former glory. But the tomb, in which Nefertari, favorite wife of the powerful pharaoh  Rameses II, was <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='enterrada'>buried</a>, will be closed for at least another two years while researchers monitor the effect  visitors will have on the paintings.</p><p>           The 3200-year-old tomb was closed in 1934, 30 years after it was discovered, because the touch  and breath of visitors was causing the paintings to deteriorate. The tomb can hold only 20 people, and the  presence of six for an hour raises the humidity from 30 to 40 per cent.</p><p>           Neville Henew of the Getty Conservation Institute, which has carried out the restoration with the  Egyptian Antiquities Organization, says a solar-powered monitoring station has been installed to record the  daily variations in temperature and humidity. Whenever our environmental engineer goes in, he takes a  group of visitors for an hour. (The tomb) takes days to recover,"" he says.</p><p>           After 1994 the tomb could be displayed to the public with closed circuit television, or a replica could  be built as was done for the prehistoric cave paintings at Lascaux in France. </p>";"Com base no t&#237;tulo e ilustra&#231;&#227;o do texto, levante hip&#243;teses sobre:<br />a) o tema que ser&#225; tratado nesse texto<br />b) que tipo de informa&#231;&#227;o sobre esse tema este texto poderia explorar?";"1_3.gif";33
1;4;"Who needs more software?";"<p>The microcomputer software industry needs to take a vacation. I would suggest a vacation of at  least 18 months to let the consumers take a breath.     </p><p>     I use an old version of Wordperfect on my PC. I have mastered many of the basic features and  periodically check the almost useless &#8242;help&#8242; function. I have never opened the manual. The one thing I do  not need is a new version of Wordperfect - or of any of the other software on my machine, for that matter. I  am not a troglodyte. I ride the <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='Terceira Onda'>Third Wave</a>. But here is my admonition to consumers: do not get the new  version if the old one is working O.K.     </p><p>     In my work in companies large and small, I have witnessed one constant theme - the great majority  of people use a very small portion of the power and productivity available from the computer. For many businesses, the rule should be: stop buying new software, and train employees on what you have. </p><p>     Does anyone ask the users if they want new versions? Do companies ask anyone besides internal  consultants and systems directors? Many software companies will not appreciate  this advice because their business is selling new products,<a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='n&atilde;o diferente'>not unlike</a> the auto industry that plans obsolescence.   </p><p>       At the same time, it is difficult for a small developer to bring new products to market. Today, with  shelf space <a href='#' title=constraints' trans='limita&ccedil;&otilde;es'>constraints</a> in stores and mind space constraints among consumers, there is little <a href='#' title=room' trans='espa&ccedil;o'>room</a> for the  great new program. A time out would give the little <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='cara, pessoa (informal)'>guy</a> breathing room. </p><p>  Before buying new software let&#8242;s consider what we really need. This might be a small step to narrow  the gap between the information haves and have-nots. </p>  ";"Leia o t&#237;tulo e levante hip&#243;teses sobre diferentes possibilidades de resposta para a pergunta do t&#237;tulo.";;40
1;5;"Pneumonia runs riot in Brazil&#8242;s cr&#232;ches";"<p>Brazilian mothers who send their children to a cr&egrave;che increase their chances of developing pneumonia, according to a study carried out in the city of Fortaleza. The study found that the risk of catching  the disease, one of the <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='principais, mais importantes'>leading</a> causes of child mortality in developing countries, increased more than <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='cinco vezes'>fivefold</a>  in children sent do cr&egrave;ches.    </p><p>       The authors say this is the first study to show a link between childcare and pneumonia. &ldquo;The finding  is of significant public <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='sa&uacute;de'>health</a> importance for countries such as Brazil with growing urban populations and  increasing need by mothers to find work outside the home&rdquo;, they say.   </p><p>        <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='Aguda'>Acute</a> respiratory infection <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='explica'>account</a> for one of the 15 million deaths among the under-fives each  year in developing countries. Of these five million deaths, three-quarters are from pneumonia associated with <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='sarampo'>measles</a>.    </p><p>       Although several studies have been carried out in developing countries to examine the link between  malnutrition and acute respiratory infections, little attention has been devoted to the link of childcare.       </p><p>    The team, which included researches from Cear&#225; Federal University, Pelotas Federal University,  Santo Antonio Pediatric hospital and the London School of Hygiene and Tropical Medicine, examined 650 children under the age of two who were suffering from pneumonia. They were compared with 650 children  from the same <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='vizinhan&ccedil;a'>neighbourhood</a> who were not <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='doente'>ill</a>.   </p><p>        After adjusting for parents&#8242; income and level of education, the team found that children were 1.58  times as likely to contract pneumonia if their mothers worked outside the home. Children from families with  seven or more children were 2.36 times as likely to contract it. However, the most <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='alarmante'>starling</a> finding was that  attendance at daycare centres increased the risk by 5.22 times.     </p><p>      &ldquo;In theory, a well-managed <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='cen&aacute;rio, ambiente'>setting</a> should not increase the risk of severe respiratory infection in a  healthy child&rdquo;, says the report. However, many of these centres are not well-managed. The report adds:  &ldquo;Information on ways in which daycare centres might be designed and managed to minimise the risk of  pneumonia is urgently needed&rdquo;.     </p><p>      Walter Fonseca of the Cear&#225; Federal University says that likely causes of the high <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='taxa'>rate</a> of  pneumonia in cr&egrave;ches include &ldquo;a lot of children confined in a small space, poor hygienic conditions, <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='equipe de funcion&aacute;rios'>staff</a> not  washing their hands properly and <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='fracasso'>failure</a> to recognise the symptoms&rdquo;.</p>";"O texto que voc&#234; vai ler discute o problema da pneumonia nas creches brasileiras. Considerando a camada social que procura essas creches, que hip&#243;teses voc&#234; pode levantar sobre o tema que ser&#225; desenvolvido no texto?";;62
2;1;"Why women don&#8242;t start wars";"<p>Women do not avoid fighting because they are fragile or <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='medrosas'>scared</a>, but because they have a greater <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='interesse, for&#231;a'>stake</a> than men in staying alive to <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='criar, educar'>rear</a> their children. Women compete with each other just as  tenaciously as men, but with a <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='sutileza'>subtlety</a> that reduces their chances of being killed or injured, says  Anne Campbell of the department of psychology at the University of Durham.</p><p>Across almost all cultures and nationalities, men have a much smaller role than women in  rearing children. &ldquo;Males go for quantity of children rather than quality of care for offspring, which  means that the parental investment of women is much greater,&rdquo; says Campbell. And unlike men,  who cannot be sure that their children have not been fathered <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='sorrateiramente'>on the sly</a> by other men, women can  always be certain that half an offspring&#8242;s genes are theirs.</p><p>Women have therefore evolved a stronger impulse than men to see their children grow up  into adults. Men&#8242;s psychological approach is geared to fathering as many children as possible. To  make this strategy work and to attract partners, a man needs to establish and advertise that he is  the strongest, the most aggressive, the most determined or the smartest among his peers.  Throughout evolution this has resulted in displays of male aggression ranging in scale from  playground fights to world wars.</p><p>Men can afford to take more risks because as parents they are more <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='dispens&#225;veis'>expendable</a>. Women,  meanwhile, can only ensure reproductive success by overseeing the development of their children  which means avoiding death. The positive value of staying alive drives everything. This means that  if women do need to compete &#8212; perhaps for a partner &#8212; they choose low-risk rules of engagement.  They use less direct tactics than men, such as discrediting rivals by spreading malicious rumors.  And unlike men who glory in feats of dominance, women do better by <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='escondendo'>concealing</a> their actions and  their &ldquo;victories&rdquo; .</p><p>But there is no doubt, says Campbell, that the universal domination of culture by males has  exaggerated these differences in attitudes to physical aggression. Females are recognized as  being non-aggressive and the weaker sex. When women are aggressive, says Campbell, they are  told that their behavior is &ldquo;odd or abnormal&rdquo;.</p>   ";;;80
2;2;"Soaps and credit ensure reduction in Brazil&#8242;s population growth";"<p>Brazil has become one of the developing world&#8242;s great successes at reducing population growth &#8212;  but more by accident then <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='planejamento'>design</a>, says a demographer at Harvard University. While overpopulated  countries such as India have made efforts to reduce birth rates, Brazil has had better results  without really trying, says George Martine, a visiting scholar at Harvard&#8242;s Center of Population and  Development Studies.</p><p>Brazil&#8242;s population growth rate has been going downwards from 2.99 per cent a year  between 1951 and 1960 to 1.93 percent a year between 1981 and 1990, and Brazilian women now  have only 2.7 children on <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='m&eacute;dia'>average</a>. Martine says this figure may have fallen still further since 1990,  an achievement that makes it the envy of many other Third World countries. &ldquo;Brazil has never had  a family planning programme, yet the decline in the fertility rate has been <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='duas vezes'>twice</a> as fast as that of  India,&rdquo; says Martine.</p><p>Martine sees a correlation between this decline and, among other things, soap operas and  credit programmes introduced in the 1970s. Both played an important, though indirect, role in  lowering the birth rate. Brazil is one of the world&#8242;s biggest producers of soap operas, which first  became popular in the late 1960&#8242;s. Globo, Brazil&#8242;s most popular television network, shows three  hours of soaps six nights a week, while three other companies all show at least one hour a night.  Most soaps are based on <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='rico'>wealthy</a> characters living the high life in big cities.</p><p>According to Martine, <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='embora'>although</a> soaps had never really tried to work in a message about the  problems of reproduction, they show middle and upper class values - not many children, different  attitudes towards sex, women working. &ldquo;They sent this image to all parts of Brazil. It was an indirect  effect. It made people conscious of other patterns of <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='comportamento'>behaviour</a> and other values, which were put  into a very attractive package,&rdquo; says Martine.</p><p>The credit programmes, which cannot be overlooked as another cause for the decrease in  population growth, were also introduced in the 1970&#8242;s to encourage poorer segments of the  population to become consumers. Items, such as shoes, could be bought in monthly instalments.  &ldquo;This led to an enormous change in consumption patterns and increased consumption was  incompatible with unlimited procreation,&rdquo; says Martine.</p><p>Martine, who has studied Brazilian population <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='crescimento'>growth</a> for 20 years, expects the country&#8242;s  population, currently around 150 million, to stabilise in the first quarter of the next century at around  250 million.</p>";"Durante a leitura busque inferir o sentido de &#8242;soap&#8242; que aparece no texto.";;63
2;3;"The importance of being useless";"<p>In times when governmental resources are limited, it is common to question the use of public funds  to support studies that are not directly &ldquo;useful&rdquo; to society. Making reference to a particular article published  by the Canadian press in the early 1990&#8242;s, entitled &ldquo;In time of government <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='restri&ccedil;&atilde;o, limita&ccedil;&atilde;o'>restraint</a>, how much do we need to know about eunuchs in imperial China&rdquo;, Arturo Sagally criticises the fact that the press judgements of  research proposals are often based not on the projects themselves but on their titles. Titles may be  irrelevant, uninformative for non-experts in the field. For example, it is possible to think that early in this  century many journalists and even scientists would probably have reacted negatively to a research title such  as &ldquo; The special theory of relativity&rdquo;.</p><p>Furthermore, the conception of &ldquo;usefulness&rdquo; in science is not so easily established. If one supports  the idea that only &ldquo;useful&rdquo; research merits public grants then it is necessary to clarify the criteria for  usefulness adopted. A popular choice is to define priorities in economic terms. Within this particular point of  view, it is expected that scientific research should only receive public funds when it is good for the country&#8242;s  economy. But such a narrow definition of knowledge production would never contemplate the possibility of  studying the past or trying to understand the universe simply because such knowledge is not linked to  economic prosperity.</p><p>A more generous definition of &ldquo;useful&rdquo; is &ldquo;beneficial to mankind&rdquo;. However such a definition raises  the question of what precisely is meant by &ldquo;beneficial&rdquo;. The Nobel Committees must know the answer,  because they award the prestigious prizes to those who have most benefited mankind in physics, chemistry,  medicine, literature and peace. In some instances, however, such as the case of Nobel prize-winning  physicist Richard Feynman, it is evident that at times important original research has its origins in purely  speculative or even playful intentions. Feynman&#8242;s research was initially triggered by his own curiosity.  Observing a wobbling plate that had been thrown in the air, he started to play with the equations describing  its motion. As he later would report &ldquo;there was no importance to what I was doing, but <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='no final das coisas'>ultimately</a> there was.  The diagrams and the whole business that I got the Nobel prize for came from that <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='brincadeira'>piddling</a> around with the  <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='freesbe'>wobbling plate</a>&rdquo;.</p><p>It is possible to establish a parallel between the totality of all research and the pile of <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='sementes'>seeds</a> of an  ancient Greek paradox. If we remove a seed from the pile of seeds, we still have a pile. But if we keep  removing the seeds, <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='consequentemente'>eventually</a> we will not have a pile any more. If we are supporting research for society&#8242;s  needs the question certainly is how much can we drop without destroying the pile?</p>";;;82
2;4;"$ A modern day Scrooge $";"<p>Before becoming a billionaire, John D. Rockefeller had often <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='esmagado'>crushed</a> the helpless in order to make bigger <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='lucros'>profits</a>. When he was 53, he was the richest man on earth. Nevertheless, he  became a <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='doente'>sick</a> man. He developed alopecia, a condition in which not only the hair from the head  drops off but also most of the hair from the eyelashes and eyebrows. Although his weekly income  was a million dollars, his digestion was so bad that he could eat only <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='bolachas tipo &#225;gua e sal'>crackers</a> and milk. He,  therefore, started suffering from malnutrition. It was generally agreed that his case was hopeless  and that he would not live another year. Newspaper writers had his obituary written and ready in  their files. The mass of riches he had accumulated, however, gave him neither peace nor  happiness. While his body was skinny and malnourished, his <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='alma'>soul</a> was restless and tormented.</p><p>Then John D. began to do some thinking in his long sleepless nights. One night he made a  startling discovery: he would be unable to take even one of his thin <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='moedas de 10 centavos'>dimes</a> with him into the next  world!</p><p>For the first time in his life, he recognised that money was something to be shared for the  benefit of others. With a deepening sense of brotherhood, he then established the Rockefeller  Foundation so that some of his fortune could be channelled to needed areas.</p><p>When he began to think outwardly about the needs of others and to act unselfishly, he  started to sleep, to eat normally, and to enjoy life in general. The bitterness, rancour and self-  centeredness went out of his life. And into the soul of John D. Rockefeller came refreshing streams  of love and gratitude from those whom he was helping. He, who had been so lifeless, now teemed  with vibrancy and experienced healthful and enjoyable living until he was ninety-eight years old.</p><p>When grateful citizens of Cleveland, Ohio, once congratulated him, he spoke from his own  experience: &ldquo;Turn your thoughts upon the higher things of life. Be of service to humanity. Turn your  thoughts into channels of usefulness; look forward to a determination that something useful shall  come out of your success (...) Do everything you can for the betterment of your fellowmen and in  doing this you will enjoy life the better.&rdquo;</p>";;;58
2;5;"Turning America into a toy store";"<p>The Southern Baptist Convention in June 1997 generated a lot of media attention when it  called for a boycott of the Disney Company for promoting &#8242;immoral ideologies such as  homosexuality&#8242;. The Southern Baptists were angry because Disney <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='patrocina'>sponsors</a> &ldquo;Gay Days&rdquo; at its  theme parks, provides health benefits to the domestic partners of gay <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='empregados'>employees</a>, and publishes  books about growing up gay.</p><p>The Baptists got it right in assuming that something was <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='errado'>amiss</a> in Disney&#8242;s image as an icon  of clean childhood fun and healthy family entertainment, but they got the reason wrong. Disney  should not be condemned because it refuses to endorse homophobic practices in its labor  operations and television programming but because its pretense to innocence camouflages a  powerful cultural force and corporate <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='monumento'>monolith</a> &#8212; in Eric Smoodin&#8242;s words &ldquo;a kind of Tennessee  Valley Authority of leisure and entertainment&rdquo; &#8212; that <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='tornar em um bem de consumo um objeto vend&#225;vel'>commodifies</a> culture, sanitizes historical  memory, and constructs children&#8242;s identities exclusively within the ideology of consumerism.</p><p>Far from being a model of moral leadership and social responsibility, Disney monopolizes  media power, limits the free flow of information, and undermines substantive public debate. Disney  poses a serious threat to democracy by corporatizing public space and limiting the avenues of  public expression and choice. Disney does not, of course, have the power to launch armies,  dismantle the <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='bem estar social e econ&#244;mico'>welfare state</a> or eliminate basic social programs for children; Disney&#8242;s influence is  more subtle and pervasive. It shapes public consciousness through its enormous economic <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='investimentos'>holdings</a> and cultural power.</p><p>Disney has always understood the connection between learning and power and their relationship to culture and politics. As one of the most powerful media conglomerates in the world,  Disney promotes cultural homogeneity and political conformity, waging a <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='batalha'>battle</a> against individuals  and groups who believe that central do democratic public life is the necessity of democratizing  cultural institutions, including the mass media.</p><p>What the southern Baptists missed was that Disney&#8242;s alleged transgression of family  values and morality has nothing to do with its labor policies or representations of gays and lesbians.  On the contrary, Disney&#8242;s threat to civic life comes from its role as a transnational communications  industry capable of ideological influence over vast segments of the American cultural <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='cen&#225;rio'>landscape</a>  and, increasingly, the rest of the world. In the &rdquo;magic kingdom&rdquo;, choice is about consumption, justice  is rarely the outcome of social <a href='#' data-toggle='tooltip' class='translation' data-placement='top' title='lutas'>struggles</a>, and history is framed nostalgically in the benevolent,  patriarchal image of Walt Disney himself. In the animated world of Disney&#8242;s films, monarchy  replaces democracy as the preferred form of government, people of color are cast as either  barbarous or stupid, and young female characters as Pocahontas, Megara in Hercules, and Mulan  support the worst kind of gender divisions and stereotypes. Combining economic control with  pedagogical influence, Disney has become a major cultural player in American life, and the first <a href='#' data-toggle='tooltip' class='translation' data-placement='top' trans='v&#237;timas'>casualties</a> of its dominance in popular culture are, of course, the most defenseless &#8212; children. ";"O autor do techo que voc&#234; vai ler &#233; Henry Giroux, um soci&#243;logo da Educa&#231;&#227;o que segue uma orienta&#231;&#227;o neo-marxista. Dentro dessa orienta&#231;&#227;o, ele tem criticado as desigualdades sociais existentes na estrutura da sociedade capitalista e que s&#227;o reproduzidas pelas institui&#231;&#245;es sociais, inclusive a escola. Em seu trabalho, o autor defende uma orienta&#231;&#227;o cr&#237;tica para o ensino, comprometida com o questionamento das desigualdades existentes e com o envolvimento do indiv&#237;duo ou de grupos em a&#231;&#245;es que promovam mudan&#231;as sociais. Sabendo que esta &#233; a orienta&#231;&#227;o te&#243;rica/filos&#243;fica deste autor, que tipo de informa&#231;&#227;o voc&#234; espera encontrar no texto que segue, que &#233; o segmento inicial de um cap&#237;tulo retirado de um livro intitulado &#8242;The Mouse that Roared, Disney and the End of Innocence&#8242;?</p>";;78
